AnnualPatients,BandwidthMbps,VesselWorkers,Reviewers,AnnualizedCompleted,AnalyticalCapacity,P95LatencySeconds,BottleneckOfferedUtilization,Sustainable,EvidencePending,ReviewPending,Generated
125000,25,16,2,128115,571304.347826087,123.569660000008,0.0930555555555556,0,3,2,702
125000,25,16,4,128115,1142608.69565217,123.569660000008,0.0465277777777778,0,3,2,702
125000,25,16,8,128115,2285217.39130435,123.569660000008,0.0359577546296296,0,3,2,702
125000,25,16,16,128115,3795516.77448473,123.569660000008,0.0359577546296296,0,3,2,702
125000,50,1,1,128115,237219.798405296,185.845618993466,0.575324074074074,0,3,2,702
125000,50,1,2,128115,237219.798405296,122.76966000002,0.575324074074074,0,3,2,702
125000,50,1,4,128115,237219.798405296,122.76966000002,0.575324074074074,0,3,2,702
125000,50,1,8,128115,237219.798405296,122.76966000002,0.575324074074074,0,3,2,702
125000,50,1,16,128115,237219.798405296,122.76966000002,0.575324074074074,0,3,2,702
125000,50,2,1,128115,285652.173913043,185.845618993466,0.287662037037037,0,3,2,702
125000,50,2,2,128115,474439.596810591,122.76966000002,0.287662037037037,0,3,2,702
125000,50,2,4,128115,474439.596810591,122.76966000002,0.287662037037037,0,3,2,702
125000,50,2,8,128115,474439.596810591,122.76966000002,0.287662037037037,0,3,2,702
125000,50,2,16,128115,474439.596810591,122.76966000002,0.287662037037037,0,3,2,702
125000,50,4,1,128115,285652.173913043,185.845618993466,0.186111111111111,0,3,2,702
125000,50,4,2,128115,571304.347826087,122.76966000002,0.143831018518519,0,3,2,702
125000,50,4,4,128115,948879.193621183,122.76966000002,0.143831018518519,0,3,2,702
125000,50,4,8,128115,948879.193621183,122.76966000002,0.143831018518519,0,3,2,702
125000,50,4,16,128115,948879.193621183,122.76966000002,0.143831018518519,0,3,2,702
125000,50,8,1,128115,285652.173913043,185.845618993466,0.186111111111111,0,3,2,702
125000,50,8,2,128115,571304.347826087,122.76966000002,0.0930555555555556,0,3,2,702
125000,50,8,4,128115,1142608.69565217,122.76966000002,0.0719155092592593,0,3,2,702
125000,50,8,8,128115,1897758.38724237,122.76966000002,0.0719155092592593,0,3,2,702
125000,50,8,16,128115,1897758.38724237,122.76966000002,0.0719155092592593,0,3,2,702
125000,50,16,1,128115,285652.173913043,185.845618993466,0.186111111111111,0,3,2,702
125000,50,16,2,128115,571304.347826087,122.76966000002,0.0930555555555556,0,3,2,702
125000,50,16,4,128115,1142608.69565217,122.76966000002,0.0465277777777778,0,3,2,702
125000,50,16,8,128115,2285217.39130435,122.76966000002,0.0359577546296296,0,3,2,702
125000,50,16,16,128115,3795516.77448473,122.76966000002,0.0359577546296296,0,3,2,702
150000,1,1,1,154395,237219.798405296,233.145733664714,0.692395833333333,1,3,0,846
150000,1,1,2,154395,237219.798405296,195.350169794809,0.692395833333333,1,3,0,846
150000,1,1,4,154395,237219.798405296,195.350169794809,0.692395833333333,1,3,0,846
150000,1,1,8,154395,237219.798405296,195.350169794809,0.692395833333333,1,3,0,846
150000,1,1,16,154395,237219.798405296,195.350169794809,0.692395833333333,1,3,0,846
150000,1,2,1,154395,285652.173913043,233.145733664714,0.346197916666667,1,2,0,846
150000,1,2,2,154395,474439.596810591,195.350169794809,0.346197916666667,1,2,0,846
150000,1,2,4,154395,474439.596810591,195.350169794809,0.346197916666667,1,2,0,846
150000,1,2,8,154395,474439.596810591,195.350169794809,0.346197916666667,1,2,0,846
150000,1,2,16,154395,474439.596810591,195.350169794809,0.346197916666667,1,2,0,846
150000,1,4,1,154395,285652.173913043,233.145733664714,0.225694444444444,1,2,0,846
150000,1,4,2,154395,571304.347826087,195.350169794809,0.196567708333333,1,2,0,846
150000,1,4,4,154395,853754.940711462,195.350169794809,0.196567708333333,1,2,0,846
150000,1,4,8,154395,853754.940711462,195.350169794809,0.196567708333333,1,2,0,846
150000,1,4,16,154395,853754.940711462,195.350169794809,0.196567708333333,1,2,0,846
150000,1,8,1,154395,285652.173913043,233.145733664714,0.225694444444444,1,2,0,846
150000,1,8,2,154395,571304.347826087,195.350169794809,0.196567708333333,1,2,0,846
150000,1,8,4,154395,853754.940711462,195.350169794809,0.196567708333333,1,2,0,846
150000,1,8,8,154395,853754.940711462,195.350169794809,0.196567708333333,1,2,0,846
